EV	p.value	variance
V1	7.44849206840148e-242	9.68
V3	1.33574443584105e-71	2.47
V6	2.99153110333878e-49	1.17
V8	7.24716780464102e-30	0.9
V11	1.29796124461853e-10	0.55
V19	3.52651274597618e-09	0.35
V2	6.65963408655388e-08	4.28
V36	4.78212673200087e-05	0.22
V28	0.00532641926318242	0.26
V5	0.0112029916310206	1.35
V7	0.0451142976270542	1.03
V15	0.0652583114850465	0.42
V41	0.60465219456527	0.2
V20	0.855794218023326	0.33
V10	1	0.63
V100	1	0.1
V1000	1	0.02
V10000	1	0
V10001	1	0
V10002	1	0
V10003	1	0
V10004	1	0
V10005	1	0
V10006	1	0
V10007	1	0
