PC	p.value	variance
PC1	1.59738250871478e-179	75.74
PC2	1.42496059683098e-137	2.19
PC5	3.21857782465239e-44	0.51
PC17	8.75504667700996e-36	0.1
PC16	1.16930818619314e-27	0.1
PC9	1.0321314226665e-24	0.21
PC24	7.6689694660589e-17	0.07
PC8	9.15858269913181e-15	0.24
PC15	6.73091511014911e-13	0.1
PC22	2.25048549667996e-10	0.08
PC27	2.82959288819874e-10	0.07
PC7	0.000236467289902715	0.27
PC12	0.000618933948466951	0.12
PC39	0.000906844914271708	0.05
PC33	0.00659657480462316	0.06
PC25	0.00706461615559651	0.07
PC175	0.0154077191432983	0.02
PC3	0.133303268611415	1.04
PC47	0.22102359751086	0.04
PC26	0.4889115364302	0.07
PC49	0.556724658327803	0.04
PC38	0.562690382715021	0.05
PC2437	0.975491381128167	0
PC10	1	0.17
PC100	1	0.03
