DC	p.value	variance
DC1	6.89373247085174e-75	6.58
DC3	3.50397903541886e-39	6.14
DC15	5.76905748387414e-23	4.44
DC19	1.42634906572176e-21	4.08
DC20	8.09330277220662e-19	3.99
DC11	2.09563382267422e-17	4.79
DC18	3.16006801786979e-14	4.11
DC16	3.38064623174981e-14	4.26
DC17	4.25516387630456e-11	4.21
DC2	2.23455056278894e-09	6.39
DC8	3.8623417516211e-08	5.2
DC9	2.02367270118252e-06	4.96
DC5	7.74681111559241e-05	5.63
DC7	0.00950106431404478	5.39
DC6	0.0107652195218898	5.5
DC12	0.0432168315629265	4.65
DC4	0.999298658509997	5.77
DC10	1	4.87
DC13	1	4.59
DC14	1	4.46
