DC	p.value	variance
DC5	2.88207191414115e-37	0.71
DC8	3.01462043784791e-19	0.15
DC3	3.60918176229796e-14	1.99
DC16	5.91136401144524e-08	0.01
DC17	7.68114654117059e-08	0.01
DC12	1.18360751188453e-07	0.05
DC11	1.46438751839493e-05	0.06
DC4	0.000442246875532069	1.06
DC7	0.000656958570540909	0.34
DC2	0.0017835126809915	2.5
DC1	0.475305498059337	3.96
DC10	1	0.08
DC100	1	0.04
DC1000	1	0.12
DC1001	1	0.12
DC1002	1	0.12
DC1003	1	0.12
DC1004	1	0.12
DC1005	1	0.12
DC1006	1	0.12
DC1007	1	0.12
DC1008	1	0.12
DC1009	1	0.12
DC101	1	0.04
DC1010	1	0.12
