DC	p.value	variance
DC4	1.59710027602787e-48	1.06
DC1	1.89261046704848e-47	3.96
DC3	3.17609592049715e-20	1.99
DC8	3.31403643720676e-06	0.15
DC12	0.00312982168274196	0.05
DC6	0.0102542122475623	0.56
DC5	0.0570258325094421	0.71
DC2	0.0806204947892344	2.5
DC15	0.412057365452469	0.01
DC10	1	0.08
DC100	1	0.04
DC1000	1	0.12
DC1001	1	0.12
DC1002	1	0.12
DC1003	1	0.12
DC1004	1	0.12
DC1005	1	0.12
DC1006	1	0.12
DC1007	1	0.12
DC1008	1	0.12
DC1009	1	0.12
DC101	1	0.04
DC1010	1	0.12
DC1011	1	0.12
DC1012	1	0.12
