EV	p.value	variance
V1	1.78573824106859e-27	4.32
V8	2.18079717054204e-27	0.25
V6	1.97193491903059e-25	0.53
V4	4.01205599230322e-10	1.25
V12	5.65426253230734e-09	0.19
V7	2.94397229983359e-08	0.33
V9	3.46575210284407e-06	0.24
V14	8.03619636833706e-06	0.18
V19	0.211774571917527	0.16
V5	0.552664492300968	0.79
V15	0.941922929743051	0.17
V10	1	0.21
V100	1	0.13
V1000	1	0.04
V1001	1	0.04
V1002	1	0.04
V1003	1	0.04
V1004	1	0.04
V1005	1	0.04
V1006	1	0.04
V1007	1	0.04
V1008	1	0.04
V1009	1	0.04
V101	1	0.13
V1010	1	0.04
