PC	p.value	variance
PC10	3.74627694825248e-28	0.12
PC7	7.3566264636601e-24	0.26
PC8	1.54702713201856e-23	0.15
PC2	2.14861068469903e-23	2.05
PC4	9.61008911761087e-10	0.63
PC1	6.33652813408896e-07	51.37
PC11	1.83274216924401e-06	0.11
PC17	6.27735774617669e-05	0.08
PC36	0.0274581579765621	0.07
PC6	0.704597774258012	0.38
PC100	1	0.06
PC1000	1	0.02
PC1001	1	0.02
PC1002	1	0.02
PC1003	1	0.02
PC1004	1	0.02
PC1005	1	0.02
PC1006	1	0.02
PC1007	1	0.02
PC1008	1	0.02
PC1009	1	0.02
PC101	1	0.06
PC1010	1	0.02
PC1011	1	0.02
PC1012	1	0.02
