EV	p.value	variance
PC2	0	2.94
PC3	0	1.16
PC9	4.12259592821794e-132	0.29
PC6	1.30419183078767e-90	0.41
PC4	8.27740075989299e-51	0.91
PC11	7.19163993296583e-34	0.23
PC22	4.63845098073788e-33	0.09
PC8	7.08157079813084e-32	0.32
PC7	9.66166501156138e-24	0.37
PC5	2.51853983271331e-22	0.54
PC10	4.03833191485023e-18	0.26
PC13	2.80590879446982e-09	0.18
PC19	2.57720272360699e-08	0.11
PC20	1.52201341206287e-05	0.1
PC24	8.03830788937172e-05	0.09
PC16	0.00202703524806102	0.15
PC30	0.0135706344227905	0.07
PC12	0.109057025263036	0.22
PC21	0.251632748152234	0.1
PC17	0.301912177853076	0.13
PC1	1	36.35
PC100	1	0.04
PC1000	1	0.02
PC1001	1	0.02
PC1002	1	0.02
