EV	p.value	variance
PC3	3.73893485424843e-54	1.14
PC1	3.78730605811831e-21	37.91
PC2	7.0102838669762e-11	3.05
PC6	2.47449825126045e-09	0.55
PC15	9.39000620995861e-06	0.21
PC16	0.000174304266611521	0.17
PC13	0.0101230962899977	0.24
PC17	0.0103487943958952	0.16
PC337	0.206022385739959	0.04
PC14	0.334418751634668	0.22
PC926	0.549937717157086	0.02
PC31	0.554638358062354	0.08
PC547	0.807317906514842	0.03
PC57	0.837008454802007	0.06
PC1137	0.899631771306229	0.02
PC10	1	0.34
PC100	1	0.06
PC1000	1	0.02
PC1001	1	0.02
PC1002	1	0.02
PC1003	1	0.02
PC1004	1	0.02
PC1005	1	0.02
PC1006	1	0.02
PC1007	1	0.02
