EV	p.value	variance
PC3	3.17907858171912e-53	1.14
PC1	3.10290166048065e-21	37.92
PC2	9.74451926805428e-11	3.05
PC6	4.15297301801486e-09	0.55
PC15	3.53867007909499e-05	0.21
PC16	0.000505149754048451	0.17
PC13	0.0122782876409253	0.24
PC17	0.0411135600600501	0.16
PC14	0.642441846390387	0.22
PC967	0.979864656896029	0.02
PC10	1	0.34
PC100	1	0.06
PC1000	1	0.02
PC1001	1	0.02
PC1002	1	0.02
PC1003	1	0.02
PC1004	1	0.02
PC1005	1	0.02
PC1006	1	0.02
PC1007	1	0.02
PC1008	1	0.02
PC1009	1	0.02
PC101	1	0.06
PC1010	1	0.02
PC1011	1	0.02
